Object ID,u,g,r,i,z
582093483279581263,22.55,19.73,18.19,17.15,16.56
582093483279581296,22.15,19.55,18.11,17.28,16.87
582093482742710367,21.73,19.65,18.81,18.47,18.26
582093499934703623,19.34,18.4,18.19,18.12,18.13
582093499934703856,20.72,19.02,18.34,18.12,17.96
582093499934703933,22.42,19.77,18.53,18.05,17.73
582093499934703813,23.4,20.22,18.86,18.11,17.66
582093499934703876,22.42,19.85,18.39,17.73,17.34
582093499934703941,22.61,20.45,18.97,18.17,17.72
582093483279515723,21.29,19.14,18.16,17.77,17.6
582093499934834837,21.53,19.45,18.56,18.23,18.03
582093483279646824,20.27,19.16,18.68,18.49,18.39
582093482742775943,23.31,20.11,18.92,18.38,18.03
582093482742775905,19.99,18.76,18.34,18.2,18.22
582093482742710369,20.57,18.98,18.39,18.2,18.08
582093499934834834,22.14,20.03,18.92,18.48,18.17
582093482742775953,22.34,19.81,18.65,18.17,17.89
